id,question,option_a,option_b,option_c,option_d,option_e,correct,explanation,category
1,关于抗病毒药的作用机制，下列哪项是错误的？,阻断病毒与宿主细胞受体的结合,阻止病毒穿入和脱壳,直接杀灭细胞外的游离病毒颗粒,抑制病毒生物合成过程,抑制新病毒颗粒的释放,C,抗病毒药通过阻断病毒与受体结合、阻止穿入脱壳、抑制生物合成、抑制释放及增强宿主抗病能力发挥作用，并不能直接杀灭细胞外的游离病毒颗粒。,总论
2,利巴韦林（ribavirin）的抗病毒机制不包括下列哪一项？,抑制肌苷一磷酸（IMP）脱氢酶,选择性抑制病毒RNA聚合酶,抑制病毒神经氨酸酶活性,抑制GMP转移酶,影响mRNA 5'-帽的合成,C,利巴韦林通过抑制IMP脱氢酶、RNA聚合酶、GMP转移酶和影响mRNA帽结构发挥作用。抑制神经氨酸酶是奥司他韦等抗流感病毒药的作用机制。,广谱抗病毒药
3,利巴韦林临床应用的主要适应证是？,巨细胞病毒感染,呼吸道合胞病毒引起的肺炎及支气管炎,单纯疱疹病毒感染,乙型脑炎,狂犬病,B,利巴韦林主要用于呼吸道合胞病毒引起的肺炎及支气管炎，也用于甲型及丙型肝炎等病毒感染。,广谱抗病毒药
4,下列关于干扰素（IFN）的药理作用，哪项是错误的？,"诱导2',5'-寡聚腺苷酸合成酶的产生",增强NK细胞的抗病毒活性,直接水解病毒DNA,激活巨噬细胞的吞噬活力,抑制多肽链的起始阶段和延伸,C,"干扰素通过诱导效应蛋白（如2',5'-寡聚腺苷酸合成酶、蛋白激酶等）发挥抗病毒作用，并非直接水解病毒DNA。",广谱抗病毒药
5,干扰素禁用于下列哪种情况？,慢性乙型肝炎,尖锐湿疣,严重心脏病患者,小儿病毒性肺炎,肿瘤,C,干扰素禁用于过敏体质、严重心脏病、肾功能不全、中枢神经系统功能紊乱患者。,广谱抗病毒药
6,利巴韦林治疗丙型肝炎时，宜与下列哪种药物合用？,阿昔洛韦,金刚烷胺,重组IFN-α,齐多夫定,奥司他韦,C,利巴韦林治疗丙型肝炎时宜与重组IFN-α合用，以增强抗病毒疗效。,广谱抗病毒药
7,利巴韦林最重要的禁忌证是？,高血压,糖尿病,妊娠,肾功能不全,肝功能不全,C,利巴韦林有致畸作用，孕妇禁用。,广谱抗病毒药
8,根据主要临床用途，抗病毒药可分为以下哪几类？,抗流感病毒药、抗疱疹病毒药、抗肝炎病毒药、抗HIV药,核苷类、非核苷类、蛋白酶抑制药、整合酶抑制药,广谱类、窄谱类、免疫增强类,DNA病毒抑制药、RNA病毒抑制药,预防用药、治疗用药、根治用药,A,根据主要临床用途，抗病毒药可分为抗流感病毒药、抗疱疹病毒药、抗肝炎病毒药及抗HIV药等。,总论
9,干扰素分为哪三种类型？,IFN-α、IFN-β、IFN-δ,IFN-α、IFN-β、IFN-γ,IFN-α、IFN-γ、IFN-ε,IFN-β、IFN-γ、IFN-λ,IFN-α、IFN-δ、IFN-λ,B,干扰素分为IFN-α、IFN-β、IFN-γ三种类型。,广谱抗病毒药
10,下列关于利巴韦林不良反应的描述，哪项是正确的？,主要不良反应为肾功能损伤,可引起骨髓抑制，表现为白细胞减少,常见乏力、贫血、食欲减退等,主要引起周围神经炎,长期使用可导致视网膜病变,C,利巴韦林不良反应包括乏力、贫血、食欲减退、胃部不适、轻度腹泻和便秘等。骨髓抑制是齐多夫定的主要不良反应。,广谱抗病毒药
11,金刚烷胺抗流感病毒的作用机制是？,抑制神经氨酸酶,抑制病毒RNA聚合酶,作用于M2蛋白，抑制病毒脱壳,抑制病毒DNA聚合酶,阻断病毒与宿主细胞受体结合,C,金刚烷胺通过作用于M2蛋白，抑制病毒在宿主细胞内的脱壳，从而抑制复制过程。,抗流感病毒药
12,金刚烷胺对下列哪种病毒有效？,乙型流感病毒,甲型流感病毒,丙型肝炎病毒,单纯疱疹病毒,呼吸道合胞病毒,B,金刚烷胺仅对甲型流感病毒有抑制作用，对乙型流感病毒及其他病毒无效。,抗流感病毒药
13,奥司他韦（oseltamivir）的抗病毒机制是？,抑制M2蛋白,抑制病毒RNA聚合酶PA亚基,抑制神经氨酸酶，阻止病毒释放,抑制病毒DNA聚合酶,抑制逆转录酶,C,奥司他韦是神经氨酸酶抑制药，通过抑制流感病毒表面的神经氨酸酶活性，阻止子代病毒从宿主细胞释放。,抗流感病毒药
14,下列关于奥司他韦的描述，哪项是错误的？,为前体药物,口服生物利用度高,是目前治疗流感的常用药物之一,对乙型流感病毒无效,常见不良反应为恶心和呕吐,D,奥司他韦对甲型流感病毒和乙型流感病毒均有活性，并非对乙型流感病毒无效。,抗流感病毒药
